Div,Date,HomeTeam,AwayTeam,HTR,HTTeam,HTPoints,HTWins,HTDraws,HTLooses,HTHomeWins,HTHomeDraws,HTHomeLooses,HTAwayWins,HTAwayDraws,HTAwayLooses,HTGoals,HTGoalsAgainst,HTHomeGoals,HTAwayGoals,HTHomeGoalsAgainst,HTAwayGoalsAgainst,HTPosition,HTShoots,HTShootsAgainst,HTHomeShoots,HTAwayShoots,HTHomeShootsAgainst,HTAwayShootsAgainst,HTShootsOnTarget,HTShootsAgainstOnTarget,HTHomeShootsOnTarget,HTAwayShootsOnTarget,HTHomeShootsAgainstOnTarget,HTAwayShootsAgainstOnTarget,HTShootsHitWoodwork,HTShootsAgainstHitWoodwork,HTHomeShootsHitWoodwork,HTAwayShootsHitWoodwork,HTHomeShootsAgainstHitWoodwork,HTAwayShootsAgainstHitWoodwork,HTCorners,HTCornersAgainst,HTHomeCorners,HTAwayCorners,HTHomeCornersAgainst,HTAwayCornersAgainst,HTFouls,HTFoulsReceived,HTHomeFouls,HTAwayFouls,HTHomeFoulsReceived,HTAwayFoulsReceived,HTOffsides,HTOffsidesAgainst,HTHomeOffsides,HTAwayOffsides,HTHomeOffsidesAgainst,HTAwayOffsidesAgainst,HTYellowCards,HTYellowCardsAgainst,HTHomeYellowCards,HTAwayYellowCards,HTHomeYellowCardsAgainst,HTAwayYellowCardsAgainst,HTRedCards,HTRedCardsAgainst,HTHomeRedCards,HTAwayRedCards,HTHomeRedCardsAgainst,HTAwayRedCardsAgainst,ATTeam,ATPoints,ATWins,ATDraws,ATLooses,ATHomeWins,ATHomeDraws,ATHomeLooses,ATAwayWins,ATAwayDraws,ATAwayLooses,ATGoals,ATGoalsAgainst,ATHomeGoals,ATAwayGoals,ATHomeGoalsAgainst,ATAwayGoalsAgainst,ATPosition,ATShoots,ATShootsAgainst,ATHomeShoots,ATAwayShoots,ATHomeShootsAgainst,ATAwayShootsAgainst,ATShootsOnTarget,ATShootsAgainstOnTarget,ATHomeShootsOnTarget,ATAwayShootsOnTarget,ATHomeShootsAgainstOnTarget,ATAwayShootsAgainstOnTarget,ATShootsHitWoodwork,ATShootsAgainstHitWoodwork,ATHomeShootsHitWoodwork,ATAwayShootsHitWoodwork,ATHomeShootsAgainstHitWoodwork,ATAwayShootsAgainstHitWoodwork,ATCorners,ATCornersAgainst,ATHomeCorners,ATAwayCorners,ATHomeCornersAgainst,ATAwayCornersAgainst,ATFouls,ATFoulsReceived,ATHomeFouls,ATAwayFouls,ATHomeFoulsReceived,ATAwayFoulsReceived,ATOffsides,ATOffsidesAgainst,ATHomeOffsides,ATAwayOffsides,ATHomeOffsidesAgainst,ATAwayOffsidesAgainst,ATYellowCards,ATYellowCardsAgainst,ATHomeYellowCards,ATAwayYellowCards,ATHomeYellowCardsAgainst,ATAwayYellowCardsAgainst,ATRedCards,ATRedCardsAgainst,ATHomeRedCards,ATAwayRedCards,ATHomeRedCardsAgainst,ATAwayRedCardsAgainst
SP1,26/08/17,Alaves,Barcelona,D,Alaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,17/09/17,Alaves,Villarreal,A,Alaves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,6.0,16.0,0.0,6.0,0.0,16.0,0.0,9.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,4.0,18.0,14.0,0.0,18.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,9.0,14.0,0.0,9.0,0.0,14.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,6.0,0.0,11.0,14.0,18.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,23/09/17,Alaves,Real Madrid,A,Alaves,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,16.0,17.0,39.0,11.0,6.0,23.0,16.0,2.0,20.0,2.0,3.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,2.0,14.0,4.0,30.0,24.0,12.0,18.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,3.0,2.0,0.0,4.0,38.0,19.0,22.0,16.0,7.0,12.0,6.0,9.0,6.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,13.0,4.0,4.0,4.0,24.0,28.0,12.0,12.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
SP1,14/10/17,Alaves,Sociedad,D,Alaves,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,19.0,22.0,59.0,11.0,11.0,23.0,36.0,2.0,23.0,2.0,6.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,1.0,6.0,14.0,13.0,47.0,41.0,12.0,35.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Sociedad,9.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,3.0,7.0,0.0,4.0,1.0,43.0,33.0,15.0,28.0,6.0,27.0,9.0,10.0,9.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,10.0,11.0,4.0,10.0,37.0,52.0,12.0,25.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,28/10/17,Alaves,Valencia,A,Alaves,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,5.0,2.0,19.0,38.0,75.0,27.0,11.0,39.0,36.0,4.0,29.0,4.0,6.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,3.0,6.0,17.0,13.0,59.0,66.0,24.0,35.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia,6.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,3.0,0.0,3.0,10.0,53.0,49.0,33.0,20.0,18.0,31.0,6.0,16.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,9.0,7.0,5.0,14.0,64.0,60.0,41.0,23.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
SP1,04/11/17,Alaves,Espanol,H,Alaves,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,5.0,3.0,19.0,46.0,90.0,27.0,19.0,39.0,51.0,4.0,32.0,4.0,9.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,3.0,8.0,17.0,18.0,78.0,82.0,24.0,54.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,4.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanol,5.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,8.0,2.0,1.0,2.0,6.0,14.0,54.0,66.0,26.0,28.0,23.0,43.0,5.0,27.0,5.0,10.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,12.0,15.0,6.0,20.0,62.0,70.0,22.0,40.0,28.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,4.0,11.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
SP1,25/11/17,Alaves,Eibar,A,Alaves,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,10.0,1.0,0.0,7.0,3.0,20.0,54.0,111.0,35.0,19.0,60.0,51.0,7.0,39.0,7.0,9.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,8.0,8.0,30.0,18.0,97.0,101.0,43.0,54.0,54.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,9.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Eibar,6.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,14.0,1.0,2.0,5.0,9.0,15.0,66.0,58.0,33.0,33.0,25.0,33.0,9.0,32.0,9.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,16.0,19.0,8.0,16.0,85.0,70.0,43.0,42.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,5.0,6.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
SP1,20/08/17,Ath Bilbao,Getafe,D,Ath Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Getafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,10/09/17,Ath Bilbao,Girona,H,Ath Bilbao,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,8.0,12.0,0.0,8.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,0.0,6.0,0.0,16.0,15.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Girona,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,11.0,13.0,9.0,13.0,0.0,9.0,0.0,6.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SP1,20/09/17,Ath Bilbao,Ath Madrid,D,Ath Bilbao,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,22.0,22.0,12.0,10.0,8.0,14.0,2.0,7.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,3.0,6.0,4.0,27.0,29.0,16.0,11.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Ath Madrid,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,7.0,0.0,3.0,5.0,17.0,23.0,0.0,17.0,0.0,23.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,10.0,24.0,25.0,0.0,24.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
SP1,14/10/17,Ath Bilbao,Sevilla,H,Ath Bilbao,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,29.0,33.0,19.0,10.0,19.0,14.0,6.0,14.0,6.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,13.0,3.0,10.0,4.0,46.0,47.0,35.0,11.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,5.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Sevilla,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,0.0,3.0,27.0,31.0,21.0,6.0,16.0,15.0,10.0,11.0,10.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,13.0,5.0,8.0,7.0,38.0,50.0,28.0,10.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SP1,28/10/17,Ath Bilbao,Barcelona,A,Ath Bilbao,7.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,6.0,40.0,45.0,19.0,21.0,19.0,26.0,6.0,17.0,6.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,13.0,9.0,10.0,11.0,65.0,59.0,35.0,30.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,5.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,Barcelona,12.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,7.0,4.0,0.0,1.0,1.0,65.0,36.0,35.0,30.0,12.0,24.0,11.0,7.0,11.0,16.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,16.0,18.0,7.0,4.0,51.0,60.0,27.0,24.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,19/11/17,Ath Bilbao,Villarreal,A,Ath Bilbao,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,11.0,52.0,61.0,31.0,21.0,35.0,26.0,13.0,26.0,13.0,9.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,19.0,9.0,10.0,11.0,77.0,71.0,47.0,30.0,45.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,5.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,Villarreal,7.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,5.0,3.0,3.0,1.0,4.0,9.0,59.0,63.0,28.0,31.0,18.0,45.0,12.0,20.0,12.0,8.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,9.0,13.0,8.0,23.0,87.0,61.0,26.0,61.0,19.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,8.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,02/12/17,Ath Bilbao,Real Madrid,D,Ath Bilbao,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,3.0,4.0,2.0,4.0,12.0,60.0,76.0,31.0,29.0,35.0,41.0,13.0,33.0,13.0,16.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,19.0,10.0,10.0,16.0,85.0,87.0,47.0,38.0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,5.0,6.0,11.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,Real Madrid,11.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,11.0,6.0,3.0,8.0,4.0,2.0,6.0,122.0,54.0,67.0,55.0,24.0,30.0,23.0,23.0,23.0,21.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,23.0,38.0,23.0,10.0,13.0,80.0,86.0,34.0,46.0,39.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,5.0,5.0,11.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0
SP1,16/09/17,Ath Madrid,Malaga,D,Ath Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,23/09/17,Ath Madrid,Sevilla,D,Ath Madrid,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,8.0,9.0,13.0,0.0,9.0,0.0,13.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,15.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Sevilla,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,9.0,9.0,9.0,0.0,9.0,0.0,4.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,3.0,0.0,14.0,12.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SP1,14/10/17,Ath Madrid,Barcelona,H,Ath Madrid,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,7.0,0.0,3.0,5.0,17.0,23.0,0.0,17.0,0.0,23.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,10.0,24.0,25.0,0.0,24.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,Barcelona,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,3.0,38.0,14.0,15.0,23.0,3.0,11.0,2.0,2.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,8.0,14.0,0.0,1.0,26.0,27.0,16.0,10.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,28/10/17,Ath Madrid,Villarreal,D,Ath Madrid,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,3.0,0.0,7.0,0.0,3.0,7.0,30.0,34.0,0.0,30.0,0.0,34.0,0.0,10.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,5.0,0.0,14.0,38.0,41.0,0.0,38.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,Villarreal,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,0.0,1.0,4.0,16.0,29.0,37.0,14.0,15.0,8.0,29.0,7.0,15.0,7.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,4.0,10.0,3.0,21.0,45.0,39.0,9.0,36.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,18/11/17,Ath Madrid,Real Madrid,D,Ath Madrid,8.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,3.0,1.0,7.0,0.0,3.0,5.0,47.0,43.0,17.0,30.0,9.0,34.0,4.0,14.0,4.0,13.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,8.0,5.0,4.0,14.0,47.0,56.0,9.0,38.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,Real Madrid,8.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,4.0,3.0,6.0,3.0,1.0,4.0,74.0,34.0,40.0,34.0,12.0,22.0,16.0,16.0,16.0,14.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,26.0,10.0,7.0,8.0,48.0,56.0,21.0,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,5.0,3.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0
SP1,02/12/17,Ath Madrid,Sociedad,A,Ath Madrid,11.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,10.0,4.0,1.0,9.0,0.0,4.0,3.0,63.0,55.0,17.0,46.0,9.0,46.0,4.0,21.0,4.0,22.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,8.0,5.0,4.0,20.0,59.0,68.0,9.0,50.0,15.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,Sociedad,9.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,10.0,4.0,7.0,3.0,7.0,5.0,66.0,64.0,25.0,41.0,24.0,40.0,14.0,25.0,14.0,13.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,14.0,17.0,10.0,13.0,60.0,80.0,24.0,36.0,37.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
